smiles,gap
CCNc1nc(on1)C,0.2221
CCCNC(CC)C#N,0.2743
N=C1NC(=CN=C1)C#N,0.1378
CC1CC(O1)C(C)(C)C,0.3165
Cc1ccn(c1C)C=O,0.183
CCC1(CC(=O)N1)C=O,0.2155
C#CC1=CC=CCOC1,0.1603
CCNC(=O)CC(C)O,0.2683
COC(C)C1(C)CCO1,0.3185
CC1C(NC=O)C1C=O,0.2254
CC(=O)C(=O)C(O)CO,0.159
COCC1(NC1C)C#N,0.2867
NC(=O)CC1C(O)C1O,0.2606
C[NH2+]C1(CC1N)C([O-])=O,0.2539
OC(C#C)C1CC=CC1,0.2629
OCCC(C=O)C#C,0.2205
CC1CC(=O)CCN1C,0.2134
c1cnc(nc1O)CO,0.215
CC(CC#CC=O)C=O,0.2012
CC(=NO)COCC#C,0.248
Cc1nc(c(o1)OC)N,0.2042
CC(C)N=C(C#N)NC,0.2032
CC(C)N=COC,0.2719
OCC1CC1(O)CO,0.3081
CCC(=O)C#CC(=O)C,0.2001
COC(C)C1=NC=CO1,0.2408
NC(=O)C(O)COC=O,0.2625
C(C(=O)C(=O)C#N)O,0.1482
COCC1CNC(=O)O1,0.3132
CCC(C)(O)CC(C)C,0.3179
Cc1cc(c(o1)CO)N,0.2058
CC1CC1OCC(N)=O,0.2804
CC(O)C(C)C(=O)C#C,0.189
COC(=N)OC(C)CO,0.3027
CCOCC(=O)CCO,0.2348
CC(C#N)C(C)(O)C=O,0.2251
CCOC(=N)OC1CC1,0.314
CC1C(CC1C=O)C=O,0.2071
CCOC(=O)C1CO1,0.2629
CN=C(CC=O)OC=O,0.2298
CCC(CC(N)=O)OC,0.2727
CC1=NCCC(O1)C#N,0.263
CC1=CCCC1=O,0.198
C#CC1OC(C=C1)C#N,0.2569
c1[nH]ncn1,0.2764
C(=O)Nc1[nH]c(=O)[nH]n1,0.1906
Cn1c(cnc1C=O)N,0.1675
COC(=O)C1(C)CN1,0.2559
OC(C#N)C1=CC=NO1,0.2391
Cc1cnc(c(=O)[nH]1)C,0.1715
CC(CO)OC(=N)C#C,0.232
CCC(C=O)C1CC1,0.2243
CCc1ncnn1C=O,0.2183
c1coc(=O)c(n1)F,0.1767
CC(O)CC1C(C)C1C,0.3186
CCC(CC)CCC#C,0.3157
COC1C(C)CC1C,0.3169
OC1(CCC1C#N)C#N,0.2966
CC(C)CC1(COC1)O,0.3082
c1c(nno1)C=O,0.2017
C#CC1NC1(C#N)C#N,0.2454
CNC(C)C#N,0.2711
CC(O)(CC(N)=O)C#C,0.27
N#CCCC1CC=CC1,0.2654
CC1CCC1NCC#N,0.263
OC1=CN(C=O)C(=N)O1,0.1905
CNC(=O)CCC(C)O,0.2813
CC1CCC(=O)C(=N)N1,0.1725
CCC#CCCC#N,0.2851
C#CC#CC1NC1C#N,0.2169
c1c(onn1)C(F)(F)F,0.2369
COCC1CN=C(C)O1,0.2717
CC(=O)C1COC(=O)O1,0.2264
CCC1CC(C)=CCO1,0.2622
CC1(O)CC1(O)CC#C,0.2929
CCCCC1C(C)C1C,0.3358
[NH3+]CC1=N[N-]C=CC1=O,0.1612
OCC1=NC(CN1)C#C,0.2526
CCCCCC(=NO)C,0.2559
C(=N)NC(=O)N,0.2484
CC(O)(CO)CCC#N,0.3167
O=C1CCNC1C#C,0.1996
OCC1(CO)NC1C#N,0.2796
CC(O)C1C(C)C1(C)O,0.3143
C(=N)Nc1c(n[nH]n1)O,0.2057
CCC(O)C1COC1=N,0.288
CC1C=CC(=O)OC1=N,0.2141
CCC(O)(CO)C(C)O,0.317
Cc1c(c([nH]c1O)O)N,0.2135
CC1OCC(C)=C1CO,0.2462
Cc1c(n(cc1N)C)C,0.2245
CC(C)(C(=O)COC)O,0.2304
[NH3+]CC(CC#C)C([O-])=O,0.2723
COC1C(NC1=N)C=O,0.2097
CC1OC1C#CC(C)=O,0.2044
CN=C1COCO1,0.2776
CCCC1CN1C(C)=O,0.2542
CC(C)(C#N)NCC#N,0.2714
C1CN(CC=C1)CC=O,0.182
c1cncc(c1C=O)O,0.1734
COCC1OC1C,0.3396
CC1=NCC(=NC)N1C,0.2155
CCNC(C#C)C#N,0.2568
CC(=NO)C#CC1CO1,0.1954
CC1(CC(O)C=C1)C=O,0.214
OC(CCC=O)C1CN1,0.2232
O=COCC(=O)C1CO1,0.2195
N=COC(CC#C)C=O,0.2137
CNC(=O)C(N)C(N)=O,0.2372
CCC1OCOC1=NC,0.276
CC(CO)OC(C)=O,0.2834
NC(=O)C(O)C1COC1,0.26
O=C1NCCC(N1)C#C,0.2721
CN1C=NC(O)=CC1=N,0.1785
CC(CO)C1OCC=C1,0.2485
c1c([nH]c(c1N)O)CO,0.2208
NC1=COC(O)=NC1=N,0.1925
C(C#CC(=N)NC=O)O,0.2113
CCCCC(CC)CC,0.3827
CC1=NC(=N)OC(=O)N1,0.2147
Cc1ccoc1C(C)C,0.2349
NC(=O)OCC(O)C=O,0.232
FC1=NC(=N)N=C(F)O1,0.2361
CN(C)C(=O)NC=O,0.2396
CC(O)(C#N)C#CC=O,0.2015
OC1CC(=N)OC1=O,0.2575
COC(C)C1NC1CO,0.3112
c1nc(nnn1)C=O,0.145
CC1(CC1C[NH3+])C([O-])=O,0.1052
CC(=O)OCCOC=O,0.28
CC1(CCC=O)CO1,0.2293
COCCC(=O)C(=O)N,0.1784
C1C(CC(=O)CC1=O)O,0.2057
CC(O)COC=O,0.2851
Cn1c(cnn1)CC=O,0.2066
O=CC#CC#CC1CO1,0.175
CC(O)C#CC1(C)CN1,0.261
Cc1cc(oc1)CO,0.2332
[NH3+]C1(CC1)C([O-])=O,0.2701
N=C1OCCOCC=C1,0.2006
CCN1C(CO)C1C#C,0.2558
CC(C#N)C1CC1C=O,0.228
CN(CCC#N)CC=O,0.2089
CC1CC=C(CC#N)C1,0.2543
CC(=N)N(CC=O)C=O,0.2113
Cc1cnc(c(n1)O)C,0.1964
CC1(C)OCCC1C=O,0.224
COC1C(C)C1(O)C#N,0.266
CCC1=C(N)OC(=N)N1,0.2206
CC1(CCCC=C1)C#N,0.2609
OC1(CC(C1)C#C)C=O,0.2284
CC1OC(=N)NC1=N,0.2527
OCC1C=CC(O)C1=O,0.2212
Cc1noc(=O)o1,0.2683
CC(=NO)C1CN=CO1,0.2443
CCCC(C)(CC)C=O,0.223
c1cnc(nc1CO)O,0.2145
CCOC(C)C#CC#C,0.2243
CNC(=O)C(=O)NC,0.2134
CC1C(C)(O)C1(C)O,0.3041
CCCC(NC)C#N,0.2743
COc1cocnc1=O,0.2017
Cc1cnn(n1)C=O,0.2169
Cc1cccc(c1)NC,0.2032
COc1c([nH]cn1)CO,0.2185
CCCCCOC(=O)C,0.2848
CCNC(=N)C(=O)C=O,0.1113
CCC1OC(=O)CC=C1,0.2641
NC(C#C)C(N)C#N,0.2774
CC1(CC=O)CO1,0.2243
CCC(C)C(CO)OC,0.3128
CC(=O)C(O)C#C,0.2257
COC1(C)C(C)C1C#C,0.2761
COC(CO)C1(C)CO1,0.3171
CC(O)C#CC(F)(F)F,0.2856
CCC(=O)OC(C)C,0.2858
Cc1cc(=O)c(no1)F,0.1903
CCC1(C)CC(C)CO1,0.3176
N=C1NC(=O)NCC=C1,0.2057
CNC1=CON=CC1=N,0.1525
CNc1cn[nH]c1OC,0.2228
O=C1C=CC(C#N)C1=O,0.1399
CCCOC1COC1C,0.3226
CC1CC(C1)OC=O,0.2864
c1(=O)[nH]nnn1C(=N)N,0.2075
C1CN1CCCCCO,0.3104
CC(O)CC(O)C(C)C,0.3073
OCC1(COC1=O)C#N,0.2675
NC1CNC1(CO)C#N,0.2652
CNC1(CN(C1)C)C#N,0.2569
CC1=COC(=N)O1,0.2382
Cc1cnco1,0.243
CCC(O)C1(CC)CC1,0.3285
Cc1c(c(oc1O)N)N,0.2228
COC=NCC(O)C#N,0.2596
CC1(COCCO1)C=O,0.2075
CC(C#N)C1(O)CCC1,0.3081
c1nc([nH]n1)CC(=O)N,0.2549
CC(=N)OC1CCC1=O,0.2037
Cn1c(cc(n1)O)CO,0.2372
CCN=c1n(nco1)C,0.2082
CC1C=CCOCC=C1,0.2464
CC(CC=O)C(F)(F)F,0.2297
CC1CCCCOCC1,0.3223
CCc1c(oc(n1)C)C,0.2326
CC1OC(C#C)C(C)=C1,0.2523
Cc1c(nco1)C#N,0.2245
c1nc([nH]n1)CC=O,0.2175
CCCn1cnnn1,0.2673
CN(CC#N)C1CC1O,0.2487
O=COC1CC(C1)C#C,0.275
CC(=N)OCCC(N)=O,0.2784
c1c(c(nc(n1)O)N)O,0.1947
CC1(C)NC(=O)NC1=N,0.2596
CCC1(OCC=C1)C#C,0.2508
c1c(con1)OCC=O,0.2014
N#CC1C=CCNC=N1,0.217
CN(C=O)C1CC=CC1,0.2479
CCCC(C)([NH3+])C([O-])=O,0.2703
COC1(CC1)CC#N,0.2989
CC1OC1CCCO,0.3364
CC1=C(O)OC(=N)C=N1,0.1533
CC1(CC1)C#CCO,0.2704
C(c1c(oc(n1)N)N)O,0.2155
CN(C=O)C(=O)CN,0.2176
OC1(CCOC1=N)C#C,0.2694
c1c(c([nH]n1)N)OC=O,0.2167
ON=C1COCC(O)C1,0.2482
COCCN1CC1CO,0.2857
CCN(CCC=O)C=O,0.2178
CCCC1=CNC(=N)O1,0.2214
c1c(cc(nc1N)F)F,0.2161
C(C#N)C(=O)OCC#N,0.2867
COc1c(nc[nH]1)C=O,0.2001
CC(C)CCN(C)C=O,0.2718
c1c(nc(nn1)O)N,0.1819
OC1(CC1(O)C#N)C#N,0.2817
CC(C#N)C1CCN1C,0.2663
CCc1ccc([nH]1)N,0.2315
Cc1coc(cc1=O)F,0.2067
NC1(CCCOC1)C#N,0.2771
CC(O)(C#N)C(N)=O,0.2604
c1c([nH]c(=O)[nH]1)CC#N,0.218
COC(CC1CO1)C#C,0.298
CCOC(C)C1(O)CC1,0.3213
CCCOC1CCC1O,0.3249
CC(C)CNC(=O)C#C,0.2313
CC1CCCC(C)(O)C1,0.3278
CCCOC=NCC,0.274
CCCNC(=O)C(C)C,0.2765
CC(O)CC(C=O)C#N,0.2303
c1c(c([nH]c1N)C#N)O,0.1927
CC1OCC(=O)C=C1,0.1777
CC#Cc1c(cno1)C,0.1977
CC1C=C(C)N(C)C1=O,0.2087
CC1CNC(=O)CC1=O,0.2181
CNC1(CCCC1)C#N,0.2661
CC1=CC(=O)CC(=O)C1,0.1872
CC(O)C(C)C1CO1,0.3261
CC1CCC(=O)NC1=O,0.2351
COCC1(CN1)C(C)O,0.3248
c1c(c(=O)onn1)CO,0.1749
CC(=O)C(=O)N1CC1,0.1732
O=C(C#C)C1(CN1)C#N,0.1963
Cc1ncn(n1)C=O,0.2205
CC1CC1C(N)C#N,0.2919
OCC1CCC(O)C1=O,0.2064
C1C(=O)C=CC1=O,0.1555
CN(C)C(=O)CCCO,0.2696
OC1(CCC1C#N)C=O,0.2203
c1cn[nH]c1C#CCO,0.2061
CC1(C)OC(=N)C(=O)C1,0.1894
ON=C1C=CC(O)C1=O,0.1724
CC(C#N)C1CCCO1,0.2969
CN(C)C1(CC1O)C=O,0.1974
C(c1c(c(n[nH]1)O)O)O,0.2254
CC#CC(C)C(C)CO,0.3023
CC(=N)OC(C=O)C#N,0.2275
CCC1CCC=CC1O,0.2618
CC(CO)CN1CC1C,0.2999
CC1CC(CO)=CC1O,0.2566
NC=[NH+]C1=COC(=N)[N-]1,0.0812
CC1C=C(C)CCC1O,0.2618
COCC1(CO)CCO1,0.3082
CCCc1cc(no1)O,0.2466
CC(C)OC=NC,0.2738
C1CC1(CO)OC(=O)N,0.3058
CC1CCC(=O)C(=O)C1,0.1628
CC1(O)C(CO)C1C#N,0.2877
OCC1(CCC#N)CN1,0.2994
Cn1cc(cn1)C(=O)N,0.2373
CN(C)C(C)(CO)C=O,0.2027
CN1C(CO)C1(C)CO,0.2865
CC1OC(=O)C(C)C1=O,0.2112
CC1=C(O)C=COC1=N,0.1695
c1c(nnnn1)CC=O,0.1625
Cc1c(cc([nH]1)O)N,0.2295
c1c(oc(=O)cn1)O,0.1625
Cc1c(c(=O)ocn1)N,0.167
CC#Cc1n[nH]nn1,0.2191
C1CC=CC#CCC=C1,0.2006
c1cnnc(n1)C=O,0.1552
CCOCC1(COC1)C,0.3209
CC(C)CNC(=N)C#N,0.2107
CC#CCC(O)C#N,0.2689
C#CCc1cnnnn1,0.1643
CC#CCC1(O)CC1O,0.2936
OC(C=O)C1OCCO1,0.2123
CCOC1C(C)CC1C,0.3168
O=CC1NC(=O)C1C=O,0.2082
C1C(=O)N(C=N1)CCO,0.2302
C(c1c(c([nH]n1)O)N)O,0.2164
CC(=O)NC1CC1C#N,0.2659
C#CC1(COCOC1)O,0.2733
C1CC(=NO)C=C1CO,0.1914
C#CCC1(CCO1)C#C,0.2731
OCC(=O)CCC1CO1,0.2414
CC1=CC(=O)NC(=N)O1,0.2086
CCC1COC(C)C1C,0.3148
Cc1c(cnoc1=O)F,0.186
CCC(=O)NC(=N)C=O,0.1827
Cn1cc(oc1=O)OC,0.2362
OC1COC1C#CC#N,0.2245
CCC(C#C)C(O)C#N,0.2811
CCn1cnoc1=NC,0.2183
OCC1CN1C(=O)C#C,0.2139
NC(CC1CC1)C#N,0.2947
CC#Cc1c[nH]c(=O)o1,0.1908
CC(=O)c1nnn(n1)C,0.199
c1c(onn1)CO,0.2331
OC(C#C)C1=NON=C1,0.2375
CCc1c(c[nH]c1N)O,0.2325
CCC(C#N)C(C)(C)O,0.3068
CC1C(=N)OCC1(C)C,0.284
C(#N)c1c(nc([nH]1)N)N,0.192
CCc1nc(cn1C)C,0.2403
CC(C)N=C(C)NC=O,0.2341
CC(=O)NCCNC=O,0.2697
CC(C)(CC1CC1)C#C,0.3162
CC(O)COCCC=O,0.2281
CCn1c(ncn1)C=O,0.1978
CC(=O)OC(C)(C)C,0.2787
N=C1OC(=O)CCC1=O,0.1891
O=CC1OCC(O1)C#N,0.211
CC(CO)C(C)OC=O,0.276
N=C1CCCCCCO1,0.2789
CCC(O)C(CO)C=O,0.2187
CC1CN=CNC(=O)N1,0.2399
OCC1(CO)NC1C#C,0.2808
CCC(C)(O)C(C)(C)C,0.3217
CCC1(COC1)CC#C,0.2902
Cc1ccnc(n1)O,0.2151
CC(CO)CC=O,0.2295
CCCCOC(=O)CN,0.2623
COCc1ccncc1,0.23
CCC(CO)C(=O)C=O,0.1522
C#CCCOC(=O)CN,0.2594
[O-]C(=O)C[NH2+]CCC#N,0.2705
C(C(=O)C(=O)CO)O,0.1576
CC(C)OCC#CCO,0.2876
CC1C(O)C1CC#N,0.3107
CC1(CC1)CCC=O,0.2286
CN1CCCNC1=O,0.2857
CC(C)(C#CC(=O)N)O,0.2363
c1c(nc(o1)CN)CO,0.242
N=C1ON=C(OC=O)O1,0.2151
C1CC(=O)NC(=C1)CO,0.2125
CCCCc1cocn1,0.2455
CCC1=C(C)C(O)CC1,0.2509
C(CC(=N)NC=O)C=O,0.2203
CC(=O)c1[nH]c(cn1)N,0.1676
CC(C)n1cc(nn1)N,0.2173
CCOC(C)C1NC1C,0.3162
CCCC(CO)C#N,0.3091
N=COC(=O)CC=O,0.224
CC1(CCC1=O)C=O,0.1971
CCC(O)(CC#C)C#C,0.2858
O=CC1OC1C#CC#C,0.203
Cc1c(c(c(o1)O)N)N,0.2167
CCCCC#CC#N,0.2463
CC#CC#CC(C)C=O,0.1971
CC(=N)OCC(=O)CO,0.2351
CCOC(C)CCOC,0.3284
CC1(C)OCC1(N)C#N,0.2791
CC([NH3+])C1=CC([O-])=CO1,0.0789
N#CCC1OCC=C1,0.2481
CC#CC(=O)C#C,0.1883
CCCC1(CC)CC1O,0.3251
CCC1CC1CC#CC,0.3028
CC1(CC1CC#C)C#N,0.2974
CC#CC(=O)NC=O,0.2008
CC(=O)NC(CO)C=O,0.2177
COC(=O)C1OCC1=O,0.2223
CC(CC(F)(F)F)C=O,0.2297
C#CCC#CC(=O)C#C,0.1894
[NH3+]CC1=C([O-])N=NO1,0.1533
NC(=O)OCC(O)C#C,0.2907
CC1=CCC(=O)OC1,0.2638
CC(C)CCC1CCO1,0.3254
CC1(CC=CC1O)C#N,0.2576
O=C1NCCC(O1)C#C,0.2743
N#CC1COCO1,0.2932
Cc1c(oc(=NC)[nH]1)N,0.2184
CC1=C(C)C(C)(O)CC1,0.2559
CC#CC1CCC1=O,0.2094
NC1=CN=C(O)OC1=N,0.1662
CNC(=O)N(C)CC#C,0.2757
CCCCC(=O)CCC,0.2342
NC(=N)C(=O)C(O)C#C,0.1871
COCc1ncno1,0.2443
COC1(C)CCC1O,0.3217
CC(=O)C(C=O)(C=O)O,0.1952
CCN1CC(=O)C1,0.2071
N=C1NC(CO1)C=O,0.1926
CCC(O)CCNC=O,0.2808
Cc1conc1COC,0.2458
CC1=CC(=O)C(=N)N1,0.1549
CC(C)C(O)C(C)C#N,0.3098
CCC(=O)C(C)(C)CO,0.2297
C(c1nc(no1)O)N,0.2358
CC(O)C1(O)CNC1=O,0.2551
COc1c(cco1)C#C,0.21
CCOc1cnon1,0.2304
C(#N)c1nc(no1)O,0.201
OC1=COC(=N)N1,0.2297
C(=O)c1c([nH]c(n1)O)N,0.1813
OCCC(CC#N)C=O,0.2244
CCC(C#C)C(=O)OC,0.2637
CC1(O)CC1CCC=O,0.2265
OC(CNC=O)C1CN1,0.2789
Cn1cc(nc1C#C)O,0.1822
COC(=O)N,0.3244
N=C1CCN1C(=O)C#N,0.2021
Cc1cc(cnc1)O,0.2087
C1CC1CNC(=N)C#N,0.211
C1C(CO1)COCC#N,0.2599
CCC(C)OCCOC,0.3311
CN1C=NC(=N)C(N)=N1,0.184
CC1OC(=O)NC=C1C,0.224
C#Cc1c(nc([nH]1)O)O,0.1982
CC(NC(=N)C#N)C#C,0.21
NC1COC(=O)NC1=N,0.2429
c1c[nH]cc1C(=O)C#N,0.1733
CCn1ccc(c1O)C,0.2322
CC(CN)(C#N)C#N,0.2644
CC(O)CCC(=O)C#N,0.2017
O=CC1CNCC(=O)N1,0.1795
NC(=O)OC(CO)C=O,0.2303
COc1cccnc1,0.2105
OC1CC1NCC#N,0.2596
CCc1cc([nH]c1O)C,0.2278
OCCCOC(=N)C#C,0.2381
COC(CCO)C(C)=O,0.2173
Cc1ccn(c1C#C)C,0.1986
CC(OCC(N)=O)C=O,0.2057
CC(C#N)C1NC1(C)C,0.2951
CNc1c(=O)cc[nH]n1,0.1761
C1CCC(C1)C(=O)CO,0.239
CC1C(O)CCC1C=O,0.2255
CC1NC(=O)OCC=C1,0.2538
Cc1ncc(o1)C(=O)N,0.211
c1coc(c1N)N(=O)=O,0.1614
CC1C=CCCOC1=O,0.2517
C#Cc1cnccc1O,0.2024
C1CC1CCOCC=O,0.229
OC1CC(C#C)C1C=O,0.2122
CCOC1(CC1)C#CC,0.2744
NC(=O)C(O)C1CN1,0.256
CC1=NC=C(N)OC1=N,0.1558
CNCC(=O)C#CC=O,0.1499
CC(O)C#CCC#N,0.2863
CCC(C=O)C(C)=O,0.1993
CC(CCC=O)OC=O,0.2299
CN(C)C(=N)C(F)(F)F,0.2347
OC1CNC1CC#N,0.2842
C(C#N)C(=N)NC(=O)N,0.2578
CCC(C)N1C=CN=C1,0.2545
CC(C#N)C(C)=O,0.2322
CC#CCCNC(=O)C,0.27
CC(=O)n1nccn1,0.2231
CC1(CCN1C=O)C#C,0.2646
Cc1c[nH]nc1N,0.2361
CC1CC=C(C)CC1C,0.2618
CCC1OC(C)(C)C1C,0.3134
c1nc(=O)nco1,0.2136
CC(C#C)C(=O)NC=N,0.2353
Cc1c(cc[nH]1)N,0.2267
CC(=O)Cn1ccnn1,0.2154
N=COCC#CC#N,0.2238
NC(=N)C(O)(C=O)C#N,0.1989
C(COC=O)OCC#N,0.2767
CCC1(CO)OC1C#C,0.2722
COC(CC(C)C)C#C,0.2996
O=CC(C#C)C1COC1,0.2108
CCCOC1CNC1=O,0.2563
CCOC(C)CCC=O,0.2301
C(=O)C(=N)N,0.192
O=CC(CC#N)C1CO1,0.2232
CN1C(CO)CC1C=O,0.2018
CN(C=O)c1cnoc1,0.213
CNC(C#N)C(C)(C)O,0.275
N=COCC(=O)C#C,0.1873
OC(C#N)C(O)C1CN1,0.285
C#CCOC=NCCO,0.2544
CCC1CC(O)C1C=O,0.2227
Cc1ncn(n1)C(=O)N,0.24
CC1=CC(=N)C(F)=CN1,0.1864
CC1C(C)C1(C=O)C#C,0.2186
CC1CN(C=N)C1=O,0.2274
CCOc1cnccn1,0.1989
CCC#CC(O)C#N,0.2691
OC1(C=CCC1=O)C#C,0.2104
COC1(C)COC(=N)O1,0.3088
CC1COC(=N)C(C)O1,0.2704
CC1=CC(=N)OC(=O)N1,0.1997
CC1COCC(C)(O)C1,0.3096
Cc1coc(cc1=O)O,0.2058
CN=C1CCC(O)CO1,0.2635
CC1(C=CC(=O)O1)C,0.2235
CCC(C)(CC)CC#C,0.3106
c1(c(n[nH]n1)O)O,0.2219
OCC1CC(=O)C1C#C,0.2155
N=C1OC=C(CC#N)O1,0.235
OC1=COC(=N)OC1=O,0.1864
CC#CCc1ccc[nH]1,0.2432
CC(C)(O)C1CC(=N)O1,0.2894
CCOc1[nH]cc(n1)O,0.2398
CCCOc1c[nH]nc1,0.2325
CCC1(C)OCC1C#N,0.2816
CC(C)C1CC1(O)C=O,0.221
CC1(CO)COC1C#N,0.2786
CCNC(=O)NC(=O)N,0.2709
CC1CCC1C(=O)CO,0.2337
CC1C(CO)CC1=O,0.2214
CC(O)C(C)CCO,0.3337
CC#CCCN=COC,0.2572
C1CC1CCC(=O)C#N,0.2033
Cc1cc([nH]c1)OC,0.2432
CC1(C)N=CNC1=N,0.2302
C1CC(C1)(CC=O)C#N,0.2224
CC(O)CN1C=CC=C1,0.2433
CCn1cc(c(c1)O)N,0.2249
NC(C#N)C1=CN=NO1,0.2313
N=C1OC(=O)COC1=O,0.2192
Cc1cc([nH]c1CO)N,0.2188
OCC1CCCCO1,0.3378
C(C=O)O,0.2196
CC1(NC(=N)C1O)C#C,0.2664
OC1CN(CC#C)C1=O,0.2601
CC1(CO1)C(=N)OC=O,0.2534
CCCn1cc(nc1)C,0.2483
CNc1c(cc[nH]1)CO,0.221
Cc1c(nc([nH]1)C)C=O,0.201
CN(C)C1=CNC(=N)O1,0.2212
CN=C1NC=NC1C,0.2213
CCC1C(C)OC1C=O,0.2087
CCCC1OCOC1C,0.3374
COc1ccc(cc1)F,0.2058
CC1NC1C(C)=O,0.2228
CCC(CCO)C1CC1,0.3415
c1c(c(nc(=O)[nH]1)F)N,0.1608
CC(=O)C1(CC1)CC#C,0.2318
CC1=CC=CC(=CC1)C,0.1827
N#CC1CCN=CO1,0.2661
c1c(c([nH]n1)CO)O,0.2308
CN1CC(=O)C(C)(O)C1,0.1923
CC1CC(C#C)C(=N)O1,0.2737
CCOC(=N)CC(C)=O,0.2232
CC1NC1(CO)C#C,0.2726
CC#CCC1CC1C#N,0.2768
C#CC(C#C)OCCO,0.265
COCC1(C)NC1C#C,0.2804
OCC1(CO1)C#CC=O,0.2014
C#CC1=CCC=CC=C1,0.1804
CC1CC(=O)CC(C)=C1,0.2245
CCNc1nccnn1,0.1659
C[NH2+]CCC(=N[O-])C#N,0.079
CCC1(C(O1)(C)C)CC,0.3281
CC1CCCOC(=O)C1,0.2739
CC#CC1NC1CCO,0.2754
CCC(O)C(=O)C1CC1,0.2348
CC(O)(CC=O)C=O,0.2061
O=CC1CCOC(=O)N1,0.2112
COC(CO)C1(C)CN1,0.3053
N,0.3399
CC(CCCC#N)C#C,0.3015
CCOCCC(O)CC,0.3172
CC(=O)N1CCC1=N,0.2348
CC(CC#C)C(O)C#N,0.2776
Cc1coc(c1O)OC,0.2227
COCCc1cocn1,0.2459
CN1C(CC1C#N)C=O,0.1859
N=COC(=O)C(=O)C=O,0.1293
CN(C)C(=O)OCCO,0.2976
CC(OC=O)C(=O)CO,0.2326
CC1(C)OCC1CC#C,0.2935
NC(=[NH2+])C1=NC=C([O-])N1,0.1375
COC=NC(CO)CO,0.2536
CC1=C(CCC1)COC,0.2508
CCOC(C)C(=O)CO,0.2342
CN1CC1CC(O)C#C,0.2529
C(C#CC#CCO)C#N,0.2125
CC1(CCC1)OCC#C,0.287
CCCCC1CCO1,0.3293
Cn1c(ccn1)C#C,0.2116
OC(C=O)C(=O)NC=N,0.2078
c1cc([nH]c1C(=O)N)O,0.1907
C1CCC(C1)C(F)(F)F,0.4037
OC(C1CC1)C(F)(F)F,0.3554
CC(C)c1cc([nH]n1)N,0.2441
CNC1=NC(C)CC1=O,0.1759
O=CC1OC1C#C,0.2161
CCC(O)(COC)C#N,0.312
CC1(CC1)C(=O)C#C,0.2034
CCC1NC1COC,0.3244
CCC(C)CC1(C)CC1,0.3405
CNc1c([nH]cn1)OC,0.213
FC1=C(F)C(=N)NC=N1,0.1783
CN(C)C(=O)CC1CO1,0.2694
CN(CC([O-])=O)C(C)=[NH2+],0.2366
COC1(C[NH2+]C1)C([O-])=O,0.2635
OC(CCCC=O)C#N,0.2287
CC(C(N)=O)C(C)=NO,0.2529
C#Cc1c(cc([nH]1)N)N,0.1828
CC(C)(C#N)C1CCO1,0.2964
CNC(=N)C(OC)C#N,0.2329
